,Title,Link
0,Data-acquisition system developments for ATLAS pixel QA and QC test toward High-Luminosity LHC,10.1016/j.nima.2020.164413
1,Specialized computer software applied to downloaded data from disseminated POCT Siemens Clinitek Status® urinalysis dipstick readers facilitates the monitoring and documentation of operator adherence to QA and QC standards,10.1016/j.clinbiochem.2010.04.036
2,"For more reliable measurements of pharmaceuticals in the environment: Overall measurement uncertainty estimation, QA/QC implementation and metrological considerations. A case study on the Seine River",10.1016/j.trac.2015.12.011
3,Application of newly developed Fluoro-QC software for image quality evaluation in cardiac X-ray systems,10.1016/j.radi.2017.12.006
4,Evaluation of bone mineral content in the BMIL QA/QC phantom on the Norland system,10.1016/j.jocd.2007.03.048
5,PO-1862: Patient-specific SRS QA using the PRIMO Monte Carlo software,10.1016/S0167-8140(21)01880-6
6,Development of a coherent framework for balanced mix design and production quality control and quality acceptance,10.1016/j.conbuildmat.2021.123020
7,Frequent issues and lessons learned from EuroFlow QA,10.1016/j.jim.2018.09.008
8,Towards harmonised criteria in quality assurance and quality control of suspect and non-target LC-HRMS analytical workflows for screening of emerging contaminants in human biomonitoring,10.1016/j.trac.2021.116201
9,Pylinac: A toolkit for performing TG-142 QA related tasks on linear accelerator,10.1016/j.ejmp.2016.07.122
10,MhcVizPipe: A Quality Control Software for Rapid Assessment of Small- to Large-Scale Immunopeptidome Datasets,10.1016/j.mcpro.2021.100178
11,Appendix A: Example of Seismic Design of Buildings with QA/QC Check List,10.1016/B978-1-85617-501-2.00020-1
12,Are we contaminating our samples? A preliminary study to investigate procedural contamination during field sampling and processing for microplastic and anthropogenic microparticles,10.1016/j.marpolbul.2021.113095
13,"Synthetic multi-element standards for QC/QA of k0-NAA: study of composition, doping procedure and homogeneity",10.1016/S0168-9002(98)01034-1
14,An assessment of quality assurance/quality control efforts in high resolution mass spectrometry non-target workflows for analysis of environmental samples,10.1016/j.trac.2020.116063
15,A comparison of the gamma index analysis in various commercial IMRT/VMAT QA systems,10.1016/j.radonc.2013.08.048
16,"Recommended best practices for collecting, analyzing, and reporting microplastics in environmental media: Lessons learned from comprehensive monitoring of San Francisco Bay",10.1016/j.jhazmat.2020.124770
17,"Radiographers’ experiences of the management of quality assurance programmes in public hospitals, South Africa",10.1016/j.radi.2019.05.007
18,Monitoring Daily QA 3 constancy for routine quality assurance on linear accelerators,10.1016/j.ejmp.2016.10.021
19,DoRGaN: Development of Quality Assurance and Quality Control Systems for High Dose Rate Brachytherapy Based on GaN Dosimetry Probes,10.1016/j.irbm.2018.04.005
20,Quality control in dual head gamma-cameras: Comparison between methods and software used for image analysis,10.1016/j.apradiso.2018.07.027
21,"Chapter 17: Systematic Failures, Especially Software",10.1016/B978-0-323-91261-7.00024-1
22,Microplastic contamination of fish gills and the assessment of both quality assurance and quality control during laboratory analyses,10.1016/j.marpolbul.2021.113051
23,Evaluation of the VeriDose QC phantom,10.1016/S0958-3947(02)00249-2
24,214 speaker SPECIFIC QA ISSUES FOR TOMOTHERAPY: INTRODUCTION OF NEW QA TOOLS,10.1016/S0167-8140(11)70336-X
